,names,prices,sku,categories,tag
74,Malt 3In1 Ovaltine 27G Sachet,₦99.99,Malt 3In1 Ovaltine 27G Sachet,Category: HotCoco,Tag: 3In1 Ovaltine
75,Tomato Paste Chicken Flavor Sonia 65G,₦99.99,Tomato Paste Chicken Flavor Sonia 65G,Category: Canned Foods,Tag: Tomato Paste
76,"Gum Clorets 10S, Mint",₦99.99,"Gum Clorets 10S, Mint",Category: Candy & bubble Gum,Tag: Clorets
77,Milk Powder Foremost 12G Sachet,₦99.99,Milk Powder Foremost 12G Sachet,Category: Milk,Tag: Milk Powder
78,Water Still Pure Life Nestle 600Ml,₦104.99,Water Still Aquafina 750ML Bottle,Category: Carbonated Juices,Tag: carbonated drinks
79,Cream Mc Vities 42G ,₦109.99,Biscuits Dark Cream Mc Vities 42G ,"Categories: Biscuits & Cookies, Confectionery and Snacks",Tag: Biscuits
80,Mcvities Digestive 45G ,₦109.99,Biscuits Digestive Mcvities 45G m,"Categories: Biscuits & Cookies, Confectionery and Snacks",Tag: Biscuits
81,Mcvities Hobnob 45G,₦109.99,Null,"Categories: Biscuits & Cookies, Confectionery and Snacks",Tag: Biscuits
82,"Noodles Honeywell 70G, Chicken",₦109.99,"Noodles Honeywell 70G, Chicken","Category: Rice, Grains & Pasta",Tag: Noodles Honeywell
83,Noodles Instant Supreme Regular Sedaap 120G,₦109.99,Noodles Instant Supreme Regular Sedaap 120G,"Category: Rice, Grains & Pasta",Tag: Noodles Instant
84,Noodles Goat Meat Pepper Soup Golden Penny 70G,₦109.99,Noodles Goat Meat Pepper Soup Golden Penny 70G,"Category: Rice, Grains & Pasta",Tag: Noodles
85,Tomato Paste Tasty Tom 70G Sachet,₦109.99,Tomato Paste Tasty Tom 70G Sachet,Category: Canned Foods,Tag: Tomato Paste
86,Water Still Pure Life Zinc Nestle 600Ml,₦109.99,Water Still Pure Life Zinc Nestle 600Ml,Category: Water,Tag: Water
87,Apple Caprisonne 200Ml Pouch,₦109.99,Apple Caprisonne 200Ml Pouch,Category: Juice,Tag: Caprisonne
